Campaign_ID,Campaign_Type,Target_Audience,Duration,Channel_Used,Impressions,Clicks,Leads,Conversions,Revenue,Acquisition_Cost,ROI,Language,Engagement_Score,Customer_Segment,Date,Intent,Reference_Action,Justification,Reviewer_1_Label,Reviewer_2_Label
NY-CMP-28210,Influencer,Premium Shoppers,9,YouTube,50340,3055,1687,877,318351,281.98,0.29,Hindi,11.16,Working Women,2024-07-25,Survival,Reduce,Based on ROI of 0.29 and Conversion rate of 28.71%.,Reduce,Reduce
NY-CMP-24445,Social Media,Premium Shoppers,5,"Google, YouTube, Instagram",45245,5789,1866,173,100,146.11,-0.80,English,18.89,Working Women,2024-12-23,Growth,Increase,Conflict stress case: growth intent with poor ROI and low conversion rate.,Maintain,Maintain
NY-CMP-25965,SEO,Tier 2 City Customers,16,"WhatsApp, Facebook, Instagram",64506,9000,4716,1831,514511,119.71,1.35,Hindi,24.1,Tier 2 City Customers,2024-08-13,Retention,Maintain,Based on ROI of 1.35 and Conversion rate of 20.34%.,Maintain,Maintain
NY-CMP-8984,Email,Working Women,16,Google,45118,3730,1212,421,276176,385.71,0.7,English,11.89,Premium Shoppers,2025-04-14,Survival,Reduce,Based on ROI of 0.70 and Conversion rate of 11.29%.,Reduce,Maintain
NY-CMP-9279,Email,College Students,13,"Email, Instagram",98012,5376,2368,917,185234,324.35,-0.38,Hindi,8.84,Premium Shoppers,2025-04-07,Survival,Reduce,Based on ROI of -0.38 and Conversion rate of 17.06%.,Maintain,Reduce
NY-CMP-32581,SEO,Working Women,23,"Facebook, Google, Email",41881,4773,2148,143,100,211.95,-0.80,Hindi,19.2,Youth,2025-02-12,Growth,Increase,Conflict stress case: growth intent with poor ROI and low conversion rate.,Investigate,Maintain
NY-CMP-12153,Influencer,Tier 2 City Customers,20,Google,33897,1900,1026,780,275340,241.62,0.46,Hindi,10.93,Working Women,2025-03-15,Survival,Reduce,Based on ROI of 0.46 and Conversion rate of 41.05%.,Reduce,Reduce
NY-CMP-48852,Influencer,Tier 2 City Customers,24,"Instagram, Email, Facebook",86168,6520,2487,1571,1190818,161.56,3.69,Tamil,12.28,Working Women,2025-01-27,Growth,Maintain,Based on ROI of 3.69 and Conversion rate of 24.10%.,Maintain,Maintain
NY-CMP-21832,Influencer,Premium Shoppers,9,"YouTube, Email, Instagram",22456,1312,554,352,200992,319.41,0.79,English,9.88,Youth,2025-06-04,Survival,Reduce,Based on ROI of 0.79 and Conversion rate of 26.83%.,Increase,Reduce
NY-CMP-17889,SEO,Tier 2 City Customers,13,"WhatsApp, Google, YouTube",55066,2062,1020,61,100,190.25,-0.80,Tamil,6.63,Working Women,2025-03-29,Growth,Increase,Conflict stress case: growth intent with poor ROI and low conversion rate.,Maintain,Maintain
NY-CMP-9270,Influencer,Tier 2 City Customers,11,Google,46644,1244,657,373,250283,436.05,0.54,Tamil,4.88,Premium Shoppers,2025-05-05,Survival,Reduce,Based on ROI of 0.54 and Conversion rate of 29.98%.,Reduce,Increase
NY-CMP-46263,Email,Youth,7,"Facebook, Email, YouTube",93736,9706,3971,2641,2017724,56.38,12.55,Hindi,17.41,College Students,2025-01-12,Growth,Increase,Based on ROI of 12.55 and Conversion rate of 27.21%.,Increase,Increase
NY-CMP-28872,Paid Ads,College Students,22,"Instagram, Facebook",45716,3362,1004,723,538635,259.88,1.87,Tamil,11.13,Working Women,2025-01-08,Retention,Maintain,Based on ROI of 1.87 and Conversion rate of 21.51%.,Maintain,Maintain
NY-CMP-42624,Paid Ads,Working Women,30,"WhatsApp, YouTube, Email",44322,1345,615,40,124,620.03,-0.80,Hindi,4.92,Working Women,2024-08-27,Growth,Increase,Conflict stress case: growth intent with poor ROI and low conversion rate.,Reduce,Reduce
NY-CMP-18210,Paid Ads,Premium Shoppers,27,Facebook,29571,4396,886,518,380212,480.03,0.53,Tamil,19.61,Premium Shoppers,2024-11-21,Survival,Reduce,Based on ROI of 0.53 and Conversion rate of 11.78%.,Reduce,Reduce
NY-CMP-32985,Influencer,Tier 2 City Customers,25,Email,61703,2587,950,701,404477,306.75,0.88,English,6.87,Youth,2025-06-03,Survival,Maintain,Based on ROI of 0.88 and Conversion rate of 27.10%.,Maintain,Maintain
NY-CMP-8785,Influencer,Premium Shoppers,5,"Facebook, WhatsApp",70355,5300,2983,1793,932360,143.41,2.63,English,14.32,College Students,2025-01-19,Retention,Maintain,Based on ROI of 2.63 and Conversion rate of 33.83%.,Maintain,Investigate
NY-CMP-40286,Social Media,College Students,14,YouTube,48365,6579,3242,197,100,242.59,-0.80,Bengali,22.57,Premium Shoppers,2024-09-03,Growth,Increase,Conflict stress case: growth intent with poor ROI and low conversion rate.,Reduce,Maintain
NY-CMP-12799,Paid Ads,Youth,26,"Facebook, Email",89033,3779,1313,566,375824,297.61,1.23,Tamil,6.35,College Students,2025-04-25,Retention,Maintain,Based on ROI of 1.23 and Conversion rate of 14.98%.,Investigate,Maintain
NY-CMP-28173,SEO,College Students,13,"WhatsApp, Google",75462,1543,546,360,180360,475.81,0.05,Bengali,3.25,College Students,2025-02-06,Survival,Reduce,Based on ROI of 0.05 and Conversion rate of 23.33%.,Reduce,Investigate
NY-CMP-53291,SEO,College Students,15,WhatsApp,44475,6532,1516,879,432468,172.89,1.85,Hindi,20.07,Youth,2025-03-02,Retention,Maintain,Based on ROI of 1.85 and Conversion rate of 13.46%.,Maintain,Maintain
NY-CMP-46442,Email,Tier 2 City Customers,7,"Email, Instagram",50011,6173,2488,185,100,33.23,-0.80,Tamil,20.62,Tier 2 City Customers,2025-05-03,Growth,Increase,Conflict stress case: growth intent with poor ROI and low conversion rate.,Increase,Increase
NY-CMP-38315,SEO,Working Women,29,Instagram,28526,2632,1235,781,560758,341.55,1.1,English,16.29,Youth,2025-02-22,Retention,Maintain,Based on ROI of 1.10 and Conversion rate of 29.67%.,Maintain,Maintain
NY-CMP-46642,Email,Working Women,5,"Email, Instagram",29345,3697,2141,1477,868476,174.68,2.37,Hindi,24.93,Tier 2 City Customers,2025-01-13,Retention,Maintain,Based on ROI of 2.37 and Conversion rate of 39.95%.,Maintain,Investigate
NY-CMP-37462,Social Media,Working Women,29,"Facebook, Email",38972,5687,2822,2046,1153944,63.23,7.92,Bengali,27.08,Tier 2 City Customers,2024-11-08,Growth,Increase,Based on ROI of 7.92 and Conversion rate of 35.98%.,Increase,Increase
NY-CMP-15831,Influencer,Youth,9,YouTube,59406,1876,952,56,100,165.49,-0.80,English,5.53,College Students,2025-02-17,Growth,Increase,Conflict stress case: growth intent with poor ROI and low conversion rate.,Maintain,Increase
NY-CMP-4394,Social Media,Tier 2 City Customers,23,"Google, WhatsApp, Instagram",84856,10539,6276,4798,1885614,38.49,9.21,English,25.47,Tier 2 City Customers,2024-09-26,Growth,Increase,Based on ROI of 9.21 and Conversion rate of 45.53%.,Reduce,Increase
NY-CMP-46757,Social Media,Premium Shoppers,8,Email,98147,11131,6502,3730,1536760,50.63,7.14,English,21.77,Tier 2 City Customers,2024-08-03,Growth,Increase,Based on ROI of 7.14 and Conversion rate of 33.51%.,Increase,Increase
NY-CMP-1292,Social Media,Working Women,22,"WhatsApp, Google, YouTube",28876,1886,1050,417,126351,274.12,0.11,English,11.61,Youth,2025-01-12,Survival,Reduce,Based on ROI of 0.11 and Conversion rate of 22.11%.,Investigate,Investigate
NY-CMP-17071,Influencer,Tier 2 City Customers,8,"Facebook, Google",69474,5781,1307,173,100,149.89,-0.80,Bengali,11.7,Working Women,2024-11-25,Growth,Increase,Conflict stress case: growth intent with poor ROI and low conversion rate.,Maintain,Maintain
NY-CMP-40247,Influencer,Youth,20,"Email, Instagram, YouTube",82526,5042,2720,931,632149,64.25,9.57,Tamil,10.53,College Students,2024-08-24,Growth,Increase,Based on ROI of 9.57 and Conversion rate of 18.46%.,Increase,Increase
NY-CMP-41653,Influencer,Working Women,19,"YouTube, Facebook, Email",44393,5681,1967,1214,643420,134.05,2.95,Hindi,19.96,Youth,2025-04-30,Retention,Maintain,Based on ROI of 2.95 and Conversion rate of 21.37%.,Maintain,Investigate
NY-CMP-17109,SEO,Tier 2 City Customers,24,"WhatsApp, Email",15517,344,74,39,28665,7025.03,-0.9,Hindi,2.95,Working Women,2024-12-12,Survival,Reduce,Based on ROI of -0.90 and Conversion rate of 11.34%.,Reduce,Reduce
NY-CMP-3757,SEO,College Students,30,"Google, YouTube, Facebook",67541,4728,1298,141,100,253.01,-0.80,Bengali,10.37,Working Women,2024-08-02,Growth,Increase,Conflict stress case: growth intent with poor ROI and low conversion rate.,Maintain,Maintain
NY-CMP-37144,Paid Ads,Youth,9,Instagram,12573,717,245,141,54708,1073.45,-0.64,Bengali,8.77,Working Women,2025-04-17,Survival,Reduce,Based on ROI of -0.64 and Conversion rate of 19.67%.,Reduce,Reduce
NY-CMP-42665,Influencer,Working Women,9,WhatsApp,38779,4477,2371,1659,1247568,106.74,6.04,Hindi,21.94,Working Women,2025-01-09,Growth,Increase,Based on ROI of 6.04 and Conversion rate of 37.06%.,Increase,Maintain
NY-CMP-11772,Email,Youth,20,"YouTube, Google, Facebook",42032,1783,630,245,178115,658.29,0.1,Tamil,6.32,College Students,2025-05-22,Survival,Reduce,Based on ROI of 0.10 and Conversion rate of 13.74%.,Reduce,Reduce
NY-CMP-5144,Email,Working Women,28,"Instagram, YouTube, Google",82024,7110,3007,213,100,182.75,-0.80,Bengali,14.21,Premium Shoppers,2024-11-12,Growth,Increase,Conflict stress case: growth intent with poor ROI and low conversion rate.,Maintain,Maintain
NY-CMP-46598,Influencer,Premium Shoppers,29,"YouTube, Instagram",77569,7968,4650,3598,784364,43.28,4.04,English,20.91,College Students,2024-09-21,Growth,Maintain,Based on ROI of 4.04 and Conversion rate of 45.16%.,Maintain,Maintain
NY-CMP-2126,Social Media,Tier 2 City Customers,25,"YouTube, Facebook",52177,6446,3370,1212,322392,141.24,0.88,Tamil,21.14,Tier 2 City Customers,2024-11-23,Survival,Maintain,Based on ROI of 0.88 and Conversion rate of 18.80%.,Maintain,Reduce
NY-CMP-47963,Email,Premium Shoppers,30,"WhatsApp, Facebook, YouTube",29019,2141,611,229,99844,833.53,-0.48,English,10.27,Premium Shoppers,2024-07-14,Survival,Reduce,Based on ROI of -0.48 and Conversion rate of 10.70%.,Reduce,Reduce
NY-CMP-46317,SEO,Premium Shoppers,21,"WhatsApp, Email",19487,1764,976,52,128,641.41,-0.80,Hindi,15.96,College Students,2024-10-09,Growth,Increase,Conflict stress case: growth intent with poor ROI and low conversion rate.,Reduce,Reduce
NY-CMP-48106,Influencer,Premium Shoppers,9,YouTube,47640,2040,936,408,178296,281.45,0.55,Tamil,7.1,Premium Shoppers,2025-05-05,Survival,Reduce,Based on ROI of 0.55 and Conversion rate of 20.00%.,Reduce,Reduce
NY-CMP-48178,Influencer,Working Women,7,"Email, Google, Instagram",76058,5716,1914,926,298172,274.75,0.17,Tamil,11.25,Tier 2 City Customers,2024-08-23,Survival,Reduce,Based on ROI of 0.17 and Conversion rate of 16.20%.,Reduce,Increase
NY-CMP-20168,Paid Ads,Premium Shoppers,14,"WhatsApp, Email, Instagram",12247,671,220,131,31440,995.02,-0.76,English,8.34,Working Women,2024-12-15,Survival,Reduce,Based on ROI of -0.76 and Conversion rate of 19.52%.,Reduce,Investigate
NY-CMP-28878,SEO,College Students,14,"WhatsApp, Email",11219,1218,581,36,118,593.31,-0.80,Bengali,18.42,College Students,2025-02-02,Growth,Increase,Conflict stress case: growth intent with poor ROI and low conversion rate.,Reduce,Reduce
NY-CMP-10731,SEO,Youth,12,"YouTube, Email",93960,13314,5964,2255,814055,65.53,4.51,English,22.92,College Students,2024-10-11,Growth,Increase,Based on ROI of 4.51 and Conversion rate of 16.94%.,Increase,Increase
NY-CMP-2005,Paid Ads,College Students,7,"Google, YouTube",10687,1121,589,437,283613,142.56,3.55,English,20.09,Working Women,2025-02-03,Growth,Maintain,Based on ROI of 3.55 and Conversion rate of 38.98%.,Maintain,Maintain
NY-CMP-40783,SEO,College Students,17,"Google, WhatsApp",71386,4188,910,669,159891,111.36,1.15,Hindi,8.08,Tier 2 City Customers,2025-02-13,Retention,Maintain,Based on ROI of 1.15 and Conversion rate of 15.97%.,Maintain,Maintain
NY-CMP-16423,Email,Working Women,29,WhatsApp,63773,4040,2262,121,100,154.76,-0.80,Hindi,11.83,Tier 2 City Customers,2024-12-18,Growth,Increase,Conflict stress case: growth intent with poor ROI and low conversion rate.,Maintain,Maintain
NY-CMP-20780,Social Media,Working Women,23,"Instagram, Facebook, Google",90391,5261,2405,1071,691866,242.72,1.66,Hindi,9.67,Tier 2 City Customers,2024-10-12,Retention,Maintain,Based on ROI of 1.66 and Conversion rate of 20.36%.,Maintain,Maintain
NY-CMP-19083,Social Media,Premium Shoppers,27,Facebook,47254,6055,3031,1906,1092138,112.36,4.1,English,23.26,Premium Shoppers,2024-08-06,Growth,Maintain,Based on ROI of 4.10 and Conversion rate of 31.48%.,Maintain,Maintain
NY-CMP-37983,Paid Ads,College Students,18,"Google, Email, WhatsApp",61859,1469,711,560,115920,199.95,0.04,Tamil,4.43,Youth,2025-03-14,Survival,Reduce,Based on ROI of 0.04 and Conversion rate of 38.12%.,Reduce,Reduce
NY-CMP-13932,Email,Premium Shoppers,19,"Instagram, YouTube, Google",82629,11788,3686,353,100,181.7,-0.80,English,20.1,Working Women,2025-06-05,Growth,Increase,Conflict stress case: growth intent with poor ROI and low conversion rate.,Maintain,Maintain
NY-CMP-50214,Email,College Students,10,Instagram,57476,1960,884,520,334880,458.18,0.41,Hindi,5.85,Premium Shoppers,2024-08-25,Survival,Reduce,Based on ROI of 0.41 and Conversion rate of 26.53%.,Reduce,Reduce
NY-CMP-36311,Social Media,Working Women,23,Email,12819,985,252,150,108750,1119.17,-0.35,Tamil,10.82,Youth,2025-06-06,Survival,Reduce,Based on ROI of -0.35 and Conversion rate of 15.23%.,Maintain,Reduce
NY-CMP-13733,Email,Youth,28,WhatsApp,96734,10572,2722,1853,852380,77.66,4.92,Hindi,15.66,Working Women,2025-01-18,Growth,Increase,Based on ROI of 4.92 and Conversion rate of 17.53%.,Increase,Increase
NY-CMP-24858,Social Media,Working Women,5,YouTube,53474,2849,603,85,130,651.88,-0.80,Tamil,6.95,College Students,2024-11-20,Growth,Increase,Conflict stress case: growth intent with poor ROI and low conversion rate.,Reduce,Maintain
NY-CMP-23952,Email,Premium Shoppers,29,YouTube,42095,2862,1041,461,248940,320.56,0.68,Hindi,10.37,Premium Shoppers,2025-04-12,Survival,Reduce,Based on ROI of 0.68 and Conversion rate of 16.11%.,Increase,Reduce
NY-CMP-14948,Influencer,Premium Shoppers,11,"Instagram, YouTube",48170,1549,831,463,216221,297.94,0.57,Bengali,5.9,Working Women,2025-02-22,Survival,Reduce,Based on ROI of 0.57 and Conversion rate of 29.89%.,Reduce,Reduce
NY-CMP-6265,Paid Ads,Tier 2 City Customers,9,"Facebook, Google",40903,5038,2962,1417,314574,159.51,0.39,Hindi,23.02,Tier 2 City Customers,2025-03-16,Survival,Reduce,Based on ROI of 0.39 and Conversion rate of 28.13%.,Reduce,Reduce
NY-CMP-18086,Influencer,Youth,23,"Email, Facebook",51550,5576,2141,167,100,112.73,-0.80,English,17.13,Working Women,2025-05-21,Growth,Increase,Conflict stress case: growth intent with poor ROI and low conversion rate.,Maintain,Maintain
NY-CMP-26928,Paid Ads,Youth,13,Instagram,48226,4064,1415,823,540711,343.52,0.91,Tamil,13.07,Working Women,2025-05-02,Survival,Maintain,Based on ROI of 0.91 and Conversion rate of 20.25%.,Maintain,Maintain
NY-CMP-43631,Influencer,Working Women,12,"Instagram, YouTube, WhatsApp",80246,6644,3435,1149,463047,105.71,2.81,Hindi,13.99,Premium Shoppers,2025-03-13,Retention,Maintain,Based on ROI of 2.81 and Conversion rate of 17.29%.,Maintain,Maintain
NY-CMP-4263,Social Media,Youth,12,"Google, Email, Facebook",50239,6061,1714,1169,557613,202.79,1.35,Hindi,17.8,Youth,2024-10-03,Retention,Maintain,Based on ROI of 1.35 and Conversion rate of 19.29%.,Investigate,Maintain
NY-CMP-43732,Email,College Students,30,"Instagram, YouTube, Email",84428,10640,5945,319,100,29.1,-0.80,English,23.96,Tier 2 City Customers,2025-02-26,Growth,Increase,Conflict stress case: growth intent with poor ROI and low conversion rate.,Increase,Increase
NY-CMP-39604,Influencer,Youth,14,"YouTube, Instagram",89427,10974,6146,4212,2809404,19.63,32.99,Hindi,23.85,Premium Shoppers,2025-04-20,Growth,Increase,Based on ROI of 32.99 and Conversion rate of 38.38%.,Maintain,Increase
NY-CMP-32725,Influencer,College Students,14,"WhatsApp, Instagram, Google",64017,8120,3777,1261,400998,170.93,0.86,English,20.55,Working Women,2024-10-15,Survival,Maintain,Based on ROI of 0.86 and Conversion rate of 15.53%.,Increase,Maintain
NY-CMP-56126,Social Media,College Students,19,WhatsApp,39892,1987,1011,694,247064,288.65,0.23,Hindi,9.25,Youth,2024-07-07,Survival,Reduce,Based on ROI of 0.23 and Conversion rate of 34.93%.,Reduce,Reduce
NY-CMP-53452,Email,Youth,26,"Instagram, Email, WhatsApp",88971,5451,2693,163,100,61.73,-0.80,Hindi,10.81,College Students,2024-11-01,Growth,Increase,Conflict stress case: growth intent with poor ROI and low conversion rate.,Increase,Increase
NY-CMP-10351,Social Media,Tier 2 City Customers,27,"Email, Facebook",48395,3404,1274,559,425958,369.58,1.06,Bengali,10.82,Working Women,2025-03-14,Retention,Maintain,Based on ROI of 1.06 and Conversion rate of 16.42%.,Maintain,Maintain
NY-CMP-4154,Paid Ads,Youth,17,"YouTube, Google",63442,7948,3706,2858,1854842,31.25,19.77,Tamil,22.87,Working Women,2025-03-24,Growth,Increase,Based on ROI of 19.77 and Conversion rate of 35.96%.,Maintain,Investigate
NY-CMP-15401,Paid Ads,Working Women,26,"WhatsApp, YouTube",84853,4585,1228,596,413624,129.06,4.38,Bengali,7.55,College Students,2025-01-05,Growth,Maintain,Based on ROI of 4.38 and Conversion rate of 13.00%.,Maintain,Maintain
NY-CMP-52440,Email,Premium Shoppers,10,"Instagram, Google, Facebook",89013,7193,3966,215,100,63.24,-0.80,Bengali,14.54,Tier 2 City Customers,2025-02-12,Growth,Increase,Conflict stress case: growth intent with poor ROI and low conversion rate.,Maintain,Maintain
NY-CMP-54766,Email,College Students,12,"Google, Instagram",42451,1989,1053,584,308352,273.1,0.93,Bengali,8.54,Youth,2024-11-13,Survival,Maintain,Based on ROI of 0.93 and Conversion rate of 29.36%.,Maintain,Maintain
NY-CMP-52434,Social Media,Tier 2 City Customers,22,"Google, Facebook",17366,371,165,116,70064,2522.53,-0.76,Hindi,3.75,Working Women,2025-06-01,Survival,Reduce,Based on ROI of -0.76 and Conversion rate of 31.27%.,Reduce,Reduce
NY-CMP-38286,Email,Tier 2 City Customers,16,Facebook,78496,10537,4386,3464,2133824,75.3,7.18,Bengali,23.42,Youth,2025-04-10,Growth,Increase,Based on ROI of 7.18 and Conversion rate of 32.87%.,Increase,Increase
NY-CMP-53288,Influencer,Premium Shoppers,13,Instagram,47275,6611,3167,198,100,33.86,-0.80,Tamil,24.93,College Students,2025-05-19,Growth,Increase,Conflict stress case: growth intent with poor ROI and low conversion rate.,Increase,Increase
NY-CMP-13212,Email,Tier 2 City Customers,28,Instagram,86413,1931,759,357,199920,348.18,0.61,Tamil,3.53,Working Women,2024-07-11,Survival,Reduce,Based on ROI of 0.61 and Conversion rate of 18.49%.,Reduce,Reduce
NY-CMP-23714,Email,Youth,6,YouTube,72524,10858,5613,3492,2612016,26.28,27.46,Hindi,27.53,Working Women,2024-09-20,Growth,Increase,Based on ROI of 27.46 and Conversion rate of 32.16%.,Increase,Increase
NY-CMP-18121,Influencer,Youth,20,YouTube,21997,769,368,245,177380,1101.4,-0.34,Tamil,6.28,Working Women,2024-12-29,Survival,Reduce,Based on ROI of -0.34 and Conversion rate of 31.86%.,Reduce,Reduce
NY-CMP-43139,Paid Ads,Working Women,12,WhatsApp,46181,2190,1159,65,100,201.0,-0.80,Hindi,8.6,Youth,2024-07-04,Growth,Increase,Conflict stress case: growth intent with poor ROI and low conversion rate.,Maintain,Maintain
NY-CMP-53964,SEO,Youth,7,"Email, WhatsApp",73771,2292,1148,589,296856,339.02,0.49,Tamil,5.46,Working Women,2024-07-23,Survival,Reduce,Based on ROI of 0.49 and Conversion rate of 25.70%.,Reduce,Maintain
NY-CMP-8070,Influencer,Premium Shoppers,23,"Instagram, Google",96326,10545,2225,684,248976,141.04,1.58,Bengali,13.97,Working Women,2024-09-24,Retention,Maintain,Based on ROI of 1.58 and Conversion rate of 6.49%.,Maintain,Maintain
NY-CMP-35677,Email,College Students,25,Google,75285,4732,1752,652,398372,165.43,2.69,Tamil,9.48,Youth,2024-08-07,Retention,Maintain,Based on ROI of 2.69 and Conversion rate of 13.78%.,Maintain,Reduce
NY-CMP-8209,Influencer,Premium Shoppers,22,Email,84078,3585,1199,107,100,226.78,-0.80,English,6.66,Premium Shoppers,2025-03-22,Growth,Increase,Conflict stress case: growth intent with poor ROI and low conversion rate.,Maintain,Maintain
NY-CMP-23839,Social Media,Tier 2 City Customers,27,"Email, Google",87577,9110,2273,1323,452466,219.31,0.56,Tamil,14.51,Youth,2024-11-27,Survival,Reduce,Based on ROI of 0.56 and Conversion rate of 14.52%.,Reduce,Maintain
NY-CMP-39843,Email,Premium Shoppers,29,"Instagram, WhatsApp, Google",83996,11311,3837,2973,1192173,19.45,19.62,English,21.57,Premium Shoppers,2025-05-29,Growth,Increase,Based on ROI of 19.62 and Conversion rate of 26.28%.,Increase,Increase
